"N","Author","Year","Species","Genus","Family","F.H","Life.form","Sp.origin","Approach","Response","Phase1.m.ori","Phase1.m","Phase1.culti","Experimental.setting","SoilTp","Phase2.grow","Phase2.time","Source","rr","var","Latitude","Longitude","Latitude.abs","MAT","MAP","AI","group","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder_a_code","coder_b_code"
"2901","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","1.430746124","0.17475759","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2902","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","1.408273268","0.164117668","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2903","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.931349196","0.361389435","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2904","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.402751402","0.413006557","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2905","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.390630042","0.776303117","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2906","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.39970726","0.37410032","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2907","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","1.789045763","0.296855457","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2908","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.04840189","0.295365875","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2909","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.180961937","0.213402226","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2910","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.362905494","0.321041836","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2911","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.235566071","0.360401717","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2912","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.139289241","0.598045036","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2913","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.56349026","0.168179871","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2914","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.32083428","0.40569477","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2915","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.90749798","0.388391722","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2916","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","1.465431682","0.216708979","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2917","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.927906852","0.669011446","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2918","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.03733767","0.355133966","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2919","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.749027639","0.163303822","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2920","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.457098019","0.330904441","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2921","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","1.120591195","0.225506557","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2922","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.026154278","0.616797632","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2923","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.021978907","0.365506557","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2924","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.568143897","0.92078307","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2925","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.255231866","0.391137305","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2926","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.234759671","0.407878488","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2927","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.108990284","0.298323362","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2928","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.308523163","0.896234712","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2929","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.864657821","0.744692301","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
